"","x"
"1",9290
"2",8890
"3",18160
"4",32016.9283536585
"5",22643.0716463415
"6",16990
"7",34570
"8",12040
"9",26084.0298229264
"10",31575.9701770736
"11",24634.9734325186
"12",14195.0265674814
"13",14940
"14",5135
"15",17758.1747955165
"16",13812.3144501666
"17",7114.51075431687
"18",4400
"19",27891.6695869837
"20",17688.3304130163
"21",0
"22",18811.0303633649
"23",3058.96963663514
"24",15520
"25",1630
"26",18060
"27",32330
"28",26540
"29",250
"30",17540.8511383538
"31",43099.1488616462
"32",17910
"33",95106.1478776814
"34",99606.4977940058
"35",40327.3543283128
"36",0
"37",19720
"38",34641.5854787924
"39",21288.4145212076
"40",22340.9991079393
"41",21509.0008920607
"42",9355
"43",16009.064516129
"44",2010.58064516129
"45",12985
"46",8030.35483870968
"47",30725
"48",4275
"49",20030
"50",15750
"51",29130.6873557322
"52",11419.3126442678
"53",20083.667504714
"54",13746.332495286
"55",10642.2988505747
"56",12497.7011494253
"57",28800
"58",66500
"59",17860
"60",41203.7215132179
"61",11066.2784867821
"62",6035
"63",68695
"64",0
"65",16226.2213740458
"66",4073.7786259542
"67",18838.4843700663
"68",13621.5156299337
"69",6004.52726363182
"70",21665.4727363682
"71",12916.4347547291
"72",19943.5652452709
"73",16200
"74",530
"75",19570
"76",17440
"77",24672.7070488252
"78",39067.2929511748
"79",29803.3958909522
"80",26736.6041090478
"81",22910
"82",18810
"83",0
"84",92080
"85",17880
"86",9900
"87",11794.061772276
"88",76235.938227724
"89",0
"90",37060
"91",0
"92",45906.6324961558
"93",16993.3675038442
"94",12660
"95",19849.9563794984
"96",30330.0436205016
"97",0
"98",40749.5512560778
"99",29103.3134116694
"100",36397.1353322528
"101",8210
"102",27700
"103",22440
"104",15710
"105",15750
"106",7609.64285714286
"107",23870.3571428571
"108",20399.858279463
"109",21270.141720537
"110",36053.7610619469
"111",7996.2389380531
"112",18544.8223558349
"113",22155.1776441651
"114",23330.4753820034
"115",25269.5246179966
"116",0
"117",32570
"118",12844.0264026403
"119",1885.97359735974
"120",61856.4173475801
"121",8703.58265241986
"122",64900
"123",0
"124",3090
"125",20990
"126",0
"127",0
"128",31154.4582043344
"129",13382.3170731707
"130",25347.6829268293
"131",14220
"132",19660
"133",34084.5140032949
"134",9735.48599670511
"135",55271.9349152542
"136",2374.55186440678
"137",20533.513220339
"138",13490
"139",41671.4612520819
"140",33384.5992946017
"141",9208.77535024983
"142",21815.1641030665
"143",32890.5976979614
"144",24196.3000970739
"145",14893.1022049646
"146",14973.8853686636
"147",20856.1146313364
"148",39560
"149",15806.9105691057
"150",14493.0894308943
"151",11840
"152",22422.3192863734
"153",49257.6807136266
"154",11450
"155",18706.0258397933
"156",17971.4418604651
"157",3362.5322997416
"158",7070
"159",8630
"160",19074.9844430616
"161",31425.0155569384
"162",38540
"163",18490
"164",10656.8022108172
"165",14713.1977891828
"166",23040
"167",36929.801061008
"168",23220.198938992
"169",9995
"170",5825
"171",18603.4809111325
"172",14366.5190888675
"173",58560
"174",30100
"175",44659.3798694462
"176",61250.6201305538
"177",53040
"178",21982.7048178039
"179",20297.2951821961
"180",15824.7936115173
"181",76255.2063884827
"182",21019.6212721035
"183",22040.3787278965
"184",0
"185",41760
"186",16890
"187",42487.7504911591
"188",35092.2495088409
"189",13412.2067845543
"190",15577.7932154457
"191",78290
"192",11340
"193",46230
"194",0
"195",12180
"196",19430.0936064995
"197",16985.4803956199
"198",22374.4259978806
"199",19017.6917057903
"200",16272.3082942097
"201",25600
"202",23186.0690490612
"203",28414.1247728649
"204",7519.8061780739
"205",0
"206",11690
"207",11275
"208",11275
"209",11033.2877813505
"210",13876.7122186495
"211",26414.1791618608
"212",28025.8208381392
"213",5906.36701588374
"214",27463.6329841163
"215",24427.326007326
"216",28032.673992674
"217",16830
"218",15733.9847817381
"219",9306.01521826191
"220",45158.7823613087
"221",26601.2176386913
"222",12230
"223",16780
"224",17780
"225",15230
"226",18805.1116211141
"227",30854.8883788859
"228",23185.628742515
"229",19383.1349066573
"230",16801.2363508278
"231",15050
"232",17484.3989769821
"233",18965.6010230179
"234",28125
"235",565
"236",37228.3381712627
"237",19851.6618287373
"238",20162.5925925926
"239",2057.40740740741
"240",26900
"241",16845
"242",465
"243",0
"244",13400
"245",9540
"246",27164.1452991453
"247",39845.8547008547
"248",10762.920332937
"249",36777.079667063
"250",19413.3502024291
"251",21526.6497975709
"252",19338.4795504215
"253",47261.5204495785
"254",1386.08299595142
"255",6731.27530364372
"256",44882.6417004049
"257",14330
"258",23380
"259",19260
"260",4920
"261",17088.3304696449
"262",6133.30469644903
"263",9728.36483390607
"264",13633.9905420153
"265",14006.0094579847
"266",10937.7173913043
"267",42432.2826086957
"268",29810
"269",21457.8096947935
"270",14542.1903052065
"271",31774.2749812171
"272",10915.7250187829
"273",19240
"274",22480
"275",8520
"276",27180
"277",23860
"278",16390
"279",25720.1492537313
"280",20029.8507462687
"281",14353.3944253532
"282",40166.6055746468
"283",17390
"284",28356.5454545455
"285",31217.7272727273
"286",18815.7272727273
"287",19500
"288",24831.5374087591
"289",19188.4625912409
"290",7595
"291",17375
"292",13180.40625
"293",22669.59375
"294",20957.0996978852
"295",24862.9003021148
"296",15280
"297",21370
"298",20850
"299",600
"300",42330
"301",46890
"302",16971.4473684211
"303",26338.5526315789
"304",12490
"305",15540
"306",39170
"307",949.718581341557
"308",26680.2814186584
"309",0
"310",0
"311",0
"312",22210
"313",25540
"314",2730
"315",9577.58823529412
"316",27592.4117647059
"317",0
"318",19030
"319",0
"320",3323.86055776892
"321",37236.1394422311
"322",12157.6420695505
"323",5922.35793044953
"324",28050
"325",10650
"326",12460
"327",14150
"328",27899.2907801418
"329",3040.70921985816
"330",17304.66873706
"331",2065.33126293996
"332",29030
"333",27987.68718802
"334",15412.31281198
"335",23394.9157175399
"336",9635.08428246014
"337",12831.4331780724
"338",9398.56682192762
"339",23700
"340",16318.2633053221
"341",1551.73669467787
"342",35207.4612403101
"343",20892.5387596899
"344",58780
"345",3700
"346",21880
"347",39281.5099240709
"348",42928.4900759291
"349",16460
"350",29520
"351",32428.1771854175
"352",20581.8228145825
"353",15970.1032953744
"354",92279.8967046256
"355",0
"356",34067.2857942878
"357",28282.7142057122
"358",43710.862487361
"359",60309.137512639
"360",21030
"361",10480
"362",31740
"363",0
"364",15660.3068280035
"365",7289.25669835782
"366",0
"367",0
"368",12239.261019879
"369",161.175453759723
"370",7065
"371",6745
"372",6915
"373",15675
"374",24640
"375",18340
"376",22723.740083113
"377",5136.25991688704
"378",16540
"379",9304.40233867475
"380",40105.5976613252
"381",32704.6415294742
"382",8005.35847052576
"383",10755.7306590258
"384",21094.2693409742
"385",18970
"386",27235.59365901
"387",4544.40634098997
"388",2510
"389",24320
"390",28640
"391",35230
"392",23040
"393",18930
"394",30942.7959908123
"395",22877.2040091877
"396",5321.7698433085
"397",26308.2301566915
"398",10211.2602433573
"399",33378.7397566427
"400",7228.75151515152
"401",9291.24848484848
"402",32574.3819599109
"403",1673.64420935412
"404",5301.97383073497
"405",28876.3240458909
"406",29485.2493561227
"407",0
"408",0
"409",8958.42659798642
"410",34026.0237068966
"411",28513.9762931034
"412",12480
"413",0
"414",31520
"415",10040
"416",18515.4369784805
"417",27424.5630215195
"418",14620
"419",12850
"420",15141.8281535649
"421",30118.1718464351
"422",35360
"423",25080
"424",40044.5704529116
"425",33425.4295470884
"426",25750
"427",11959.4434067987
"428",16050.5565932013
"429",27580.7397107898
"430",23759.2602892102
"431",15468.61130255
"432",7921.38869745003
"433",14365.5921052632
"434",9654.40789473684
"435",14445.8637469586
"436",27450.7542579075
"437",5673.38199513382
"438",20960
"439",25035
"440",1595
"441",0
"442",18029.2122335496
"443",62690.7877664504
"444",29924.7861208004
"445",28645.2138791996
"446",93341.4216915822
"447",9628.57830841778
"448",0
"449",32980
"450",10573.0434782609
"451",16446.9565217391
"452",28128.5108958838
"453",24771.4891041162
"454",41847.4741062479
"455",25382.5258937521
"456",12261.5272448196
"457",2468.47275518035
"458",21470.1449275362
"459",28039.8550724638
"460",15033.3255633256
"461",10746.6744366744
"462",13795.829890644
"463",71444.170109356
"464",3670.18808777429
"465",16159.8119122257
"466",31210.9547692869
"467",27159.0452307131
"468",20304.865410498
"469",27945.134589502
"470",14680
"471",47956.0961154794
"472",19161.6729257129
"473",14108.4708367563
"474",3723.7601220514
"475",6165
"476",6165
"477",27902.3758865248
"478",9367.62411347518
"479",54651.4573130377
"480",23488.5426869623
"481",14356.7105263158
"482",25423.2894736842
"483",25290
"484",17071.610201751
"485",10818.389798249
"486",54300
"487",19400
"488",17270
"489",12500
"490",12240
"491",21133.7392100445
"492",27246.2607899555
"493",0
"494",23397.7652370203
"495",62462.2347629797
"496",700
"497",7715
"498",14995
"499",18505.0332225914
"500",56444.9667774086
"501",21395.6451178451
"502",60514.3548821549
"503",0
"504",19525
"505",155
"506",11850
"507",23638.4401435529
"508",22321.5598564471
"509",11399.5853403141
"510",41350.4146596859
"511",27051.7217030114
"512",23278.2782969886
"513",28095.4178794179
"514",21734.5821205821
"515",19850
"516",75980.5632423166
"517",102039.436757683
"518",17287.5541125541
"519",12992.4458874459
"520",7004.889224572
"521",36265.110775428
"522",39220.462031107
"523",30269.537968893
"524",192560
"525",1980
"526",10145
"527",9525
"528",21029.7658175842
"529",29400.2341824158
"530",21000
"531",36554.4166888121
"532",10275.5833111879
"533",15246.3404852617
"534",36653.6595147383
"535",0
"536",28392.387910993
"537",3567.61208900697
"538",45485.1144661535
"539",10614.8855338465
"540",25980
"541",30330
"542",7320
"543",0
"544",11205.8181818182
"545",8954.18181818182
"546",11190
"547",3525.97511366356
"548",50150.9619526202
"549",31983.0629337162
"550",2660
"551",27302.4560260586
"552",8717.54397394137
"553",7830
"554",21870
"555",8758.38028169014
"556",14061.6197183099
"557",30852.9766803841
"558",3888.94375857339
"559",8367.43484224966
"560",17210.6447187929
"561",14795.7607739666
"562",8344.23922603342
"563",35295
"564",35295
"565",0
"566",26080
"567",13330.5002543666
"568",37909.581142954
"569",9839.91860267933
"570",21508.5568917669
"571",21991.4431082331
"572",43272.0063258677
"573",18947.9936741323
"574",14790
"575",18580
"576",24543.1363088058
"577",13236.8636911942
"578",30740
"579",13420
"580",17941.8476791347
"581",15888.1523208653
"582",2100
"583",27982.0386266094
"584",20697.9613733906
"585",27856.0842863194
"586",22613.9157136806
"587",40170
"588",38990
"589",27744.489291598
"590",49245.510708402
"591",105520
"592",0
"593",20035.5120147874
"594",8654.48798521257
"595",20857.0153061224
"596",5772.98469387755
"597",0
"598",17753.7856231391
"599",7506.21437686091
"600",15896.6163522013
"601",7993.38364779874
"602",18570
"603",12930.3529411765
"604",16889.6470588235
"605",33160
"606",870
"607",0
"608",0
"609",61091.412341452
"610",56388.587658548
"611",22676.5869140625
"612",34623.4130859375
"613",5946.07843137255
"614",10703.9215686275
"615",10857.5117813384
"616",21962.4882186616
"617",20800
"618",18870
"619",32700
"620",23787.896713615
"621",21902.103286385
"622",0
"623",16380
"624",149681.786991398
"625",33668.2130086015
"626",11719.2247534852
"627",18620.7752465148
"628",62839.0150051154
"629",29980.9849948846
"630",32380
"631",15480.2703761755
"632",10089.7296238245
"633",8020
"634",10700
"635",24311.2804878049
"636",10358.7195121951
"637",17872.0246085011
"638",25287.9753914989
"639",40
"640",19300
"641",16220
"642",26070
"643",18297.4023329013
"644",37482.5976670987
"645",17745.9443507589
"646",9504.05564924115
"647",13477.6086956522
"648",25222.3913043478
"649",29480
"650",19571.1406756131
"651",28848.8593243869
"652",0
"653",11174.4894777864
"654",15035.5105222136
"655",10430
"656",22565.1763803681
"657",9894.8236196319
"658",22338.3605203386
"659",29771.6394796614
"660",27015.0902087979
"661",22369.4465842287
"662",1655.46320697344
"663",19500
"664",10520
"665",15641.2615612283
"666",7078.73843877174
"667",3190
"668",16310
"669",66915.9486952676
"670",73564.0513047324
"671",30024.1021082042
"672",11295.8978917958
"673",0
"674",19690
"675",13390
"676",31430
"677",0
"678",24563.3881241011
"679",25646.6118758989
"680",0
"681",0
"682",30490
"683",0
"684",15600
"685",60280
"686",34236.6348448687
"687",3663.36515513126
"688",8460
"689",22776.1342351717
"690",35903.8657648283
"691",0
"692",21480
"693",22990
"694",20130
"695",3660
"696",24990
"697",6440
"698",19650
"699",1630
"700",20153.7445414847
"701",8426.25545851528
"702",10230.6853839802
"703",14449.3146160198
"704",18660
"705",28888.3557597637
"706",11521.6442402363
"707",33300.9183187946
"708",32169.0816812054
"709",0
"710",1056230
"711",0
"712",0
"713",11530
"714",36823.9762611276
"715",1456.0237388724
"716",21950
"717",17540.5989304813
"718",12459.4010695187
"719",29827.3535564854
"720",62952.6464435146
"721",8950
"722",74650
"723",8786.67916808728
"724",20923.3208319127
"725",0
"726",0
"727",34385
"728",865
"729",10390
"730",32650
"731",2880
"732",12320
"733",13920
"734",35547.6851337848
"735",63732.3148662152
"736",1990
"737",24110
"738",19765.0850661626
"739",16504.9149338374
"740",0
"741",27714.9413020277
"742",20825.0586979723
"743",11312.7491538172
"744",15307.2508461828
"745",53010.8076602831
"746",16709.1923397169
"747",52156.6729678639
"748",32443.3270321361
"749",23560
"750",26522.9401442776
"751",28597.0598557224
"752",0
"753",15800
"754",11330
"755",18003.5120350109
"756",17786.4879649891
"757",74361.8051282051
"758",6018.19487179487
"759",43940
"760",20740
"761",1770
"762",13021.4453584019
"763",9478.55464159812
"764",35170
"765",36201.3329219377
"766",30958.6670780623
"767",30082.9402515723
"768",38167.0597484277
"769",28571.8154012235
"770",28778.1845987765
"771",13583.9296730413
"772",7206.07032695867
"773",10740
"774",18110.5152671756
"775",6539.48473282443
"776",6600
"777",6600
"778",25800
"779",14881.579714369
"780",33978.420285631
"781",23751.1293634497
"782",16568.8706365503
"783",27320
"784",14060
"785",26350
"786",46707.7477477478
"787",3672.25225225225
"788",12110
"789",20740
"790",18930
"791",19581.4569536424
"792",22658.5430463576
"793",30730
"794",17225
"795",4445
"796",20600
"797",15350
"798",23290
"799",23575.9505703422
"800",11994.0494296578
"801",20590
"802",11070
"803",22410
"804",25690.6738051711
"805",13799.3261948289
"806",11665
"807",4215
"808",525
"809",23875
"810",16206.1710794297
"811",8113.82892057026
"812",18020
"813",7460
"814",17588.1215469613
"815",33071.8784530387
"816",21911.6023391813
"817",21248.3976608187
"818",23012.6687376447
"819",13697.3312623553
"820",11545.1166965889
"821",9724.88330341113
"822",19354.4271356784
"823",3925.57286432161
"824",19460
"825",31176.1658841941
"826",1773.83411580595
"827",22970
"828",17960
"829",14070.6087275394
"830",13239.3912724606
"831",11766.6790905703
"832",28392.996645546
"833",22980.3242638837
"834",11520
"835",16662.9073033708
"836",13977.0926966292
"837",1887.2764365862
"838",3831.30907854471
"839",25091.4144848691
"840",18145.5056179775
"841",18042.1348314607
"842",15712.3595505618
"843",20730
"844",48620
"845",18040
"846",22170
"847",19286.2176165803
"848",9793.78238341969
"849",33480
"850",0
"851",46020
"852",46020
"853",8392.49585131099
"854",24717.504148689
"855",39556.8591224018
"856",4063.14087759815
"857",114565.862474287
"858",47387.9371143109
"859",5156.2004114017
"860",14962.9113573407
"861",22507.0886426593
"862",35890
"863",9025
"864",32775
"865",1608.56896551724
"866",4991.43103448276
"867",20060
"868",3160
"869",0
"870",20995.6364097363
"871",23374.3635902637
"872",33986.8095113666
"873",2173.19048863339
"874",22085
"875",7995
"876",23690
"877",1900
"878",1900
"879",57073.8841870824
"880",10756.1158129176
"881",23740.2555910543
"882",8219.74440894569
"883",8620
"884",19260
"885",19850
"886",25167.3097046413
"887",11863.552742616
"888",24359.1375527426
"889",17176.6042267051
"890",17763.3957732949
"891",9370
"892",11540
"893",25410
"894",28468.9719626168
"895",47351.0280373832
"896",39334.9082007344
"897",11685.0917992656
"898",20638.4507829978
"899",56498.3836689038
"900",12213.1655480984
"901",30630
"902",0
"903",52480
"904",15100
"905",27120
"906",12145.3898582334
"907",35804.6101417666
"908",15671.9516837482
"909",20818.0483162518
"910",18035.0146759991
"911",27844.9853240009
"912",27672.6267769998
"913",20737.3732230002
"914",21510
"915",10750
"916",58020
"917",28089.3284858854
"918",23600.6715141146
"919",18940
"920",18470
"921",31190
"922",6620
"923",7269.59887535145
"924",51900.4011246485
"925",0
"926",22616.2052548052
"927",44533.7947451948
"928",32290
"929",49040
"930",35856.5625
"931",2753.4375
"932",9750
"933",20672.3341677096
"934",15947.6658322904
"935",23210
"936",21496.88325022
"937",15403.11674978
"938",10750.2
"939",3979.8
"940",30262.426449986
"941",6337.57355001401
"942",8117.81303813038
"943",33812.1869618696
"944",16710
"945",41110
"946",62100
"947",31646.529562982
"948",19293.470437018
"949",23156.3187484723
"950",19343.6812515277
"951",32101.4889123548
"952",20548.5110876452
"953",18935.5644845159
"954",10044.4355154841
"955",0
"956",25420
"957",17290
"958",19597.2222222222
"959",15712.7777777778
"960",28617.7373999567
"961",19282.2626000433
"962",17320
"963",16609.6033844527
"964",24560.3966155473
"965",9596.8465311843
"966",19053.1534688157
"967",17110
"968",25210
"969",15013.8426702449
"970",16246.1573297551
"971",26510
"972",15430
"973",38730
"974",20650
"975",37030
"976",7896.85902118335
"977",19823.1409788167
"978",9579.38783269962
"979",18273.5589353612
"980",3317.05323193916
"981",57650
"982",60046.8416144241
"983",149453.158385576
"984",14219.9108469539
"985",22030.0891530461
"986",19945.300592718
"987",29854.699407282
"988",21636.0159266409
"989",21993.9840733591
"990",13010
"991",25908.6029030586
"992",18281.3970969414
"993",9490
"994",7491.26320236586
"995",16808.7367976341
"996",30966.6626602564
"997",49253.3373397436
"998",21400
"999",39383.0470914127
"1000",52696.9529085873
"1001",24939.0804872224
"1002",22079.5438261285
"1003",901.375686649152
"1004",16233.3260153677
"1005",12426.6739846323
"1006",6500
"1007",5085.10342233923
"1008",20481.6058668672
"1009",2103.29071079353
"1010",46309.9987311255
"1011",35430.0012688745
"1012",5215
"1013",65105
"1014",15859.4810126582
"1015",24697.4701627486
"1016",0
"1017",19473.0488245931
"1018",30249.133126935
"1019",26260.866873065
"1020",0
"1021",40240
"1022",29735
"1023",5275
"1024",19200
"1025",27200
"1026",24601.3181818182
"1027",1918.68181818182
"1028",16327.7196467991
"1029",30862.2803532009
"1030",25531.6967333008
"1031",16938.3032666992
"1032",22450
"1033",20720
"1034",19050.4706974277
"1035",36519.5293025723
"1036",11140
"1037",30720
"1038",43541.8622942885
"1039",41908.1377057115
"1040",10720
"1041",7800
"1042",8280
"1043",33961.7344281995
"1044",17768.2655718005
"1045",0
"1046",22970.707165109
"1047",10139.292834891
"1048",12223.7784090909
"1049",21626.2215909091
"1050",35361.9027217742
"1051",10448.0972782258
"1052",26430
"1053",17570
"1054",0
"1055",13580
"1056",39112.2803030303
"1057",2777.7196969697
"1058",21250
"1059",20856.1611579175
"1060",26913.8388420825
"1061",21290
"1062",19656.0389159138
"1063",10023.9610840862
"1064",16210
"1065",32204.0373380747
"1066",0
"1067",10125.9626619253
"1068",57582.4968553459
"1069",45227.5031446541
"1070",17066.4495114006
"1071",15133.5504885993
"1072",7605
"1073",7605
"1074",9877.44359301831
"1075",11131.9348659004
"1076",1660.62154108131
"1077",0
"1078",3300
"1079",22035
"1080",1025
"1081",20523.3920829406
"1082",40696.6079170594
"1083",27130
"1084",14030
"1085",26781.9704116638
"1086",29498.0295883362
"1087",23620
"1088",12227.2823779193
"1089",16072.7176220807
"1090",13596.1962134251
"1091",19173.8037865749
"1092",24800
"1093",19610
"1094",43420
"1095",18050
"1096",13837.9698630137
"1097",24762.0301369863
"1098",12167.0533642691
"1099",5082.94663573086
"1100",2220
"1101",17110
"1102",12560
"1103",3157.10205795884
"1104",20126.1024779504
"1105",29736.7954640907
"1106",25560
"1107",5035
"1108",18325
"1109",9680
"1110",33540
"1111",22357.0933014354
"1112",40482.9066985646
"1113",13296.4768145161
"1114",31153.5231854839
"1115",9420
"1116",20810
"1117",19925.7573852923
"1118",13114.2426147077
"1119",23405.8216068997
"1120",22044.1783931003
"1121",7535
"1122",17355
"1123",14390
"1124",14215.550024888
"1125",22883.4370333499
"1126",6431.01294176207
"1127",0
"1128",15494.014709612
"1129",25645.985290388
"1130",12170
"1131",17640
"1132",21680.8764088613
"1133",15189.1235911387
"1134",0
"1135",25667.773512476
"1136",26502.226487524
"1137",0
"1138",11510.3278688525
"1139",6701.9262295082
"1140",10517.7459016393
"1141",22281.8761084368
"1142",20158.1238915632
"1143",0
"1144",33810
"1145",12400
"1146",2290
"1147",23780
"1148",17810
"1149",16251.0613437196
"1150",15518.9386562804
"1151",20832.0381659157
"1152",18447.9618340843
"1153",23740
"1154",19360
"1155",23856.9798155993
"1156",19483.0201844007
"1157",8910
"1158",25658.2026476578
"1159",15211.7973523422
"1160",0
"1161",38940
"1162",25704.9142411642
"1163",14635.0857588358
"1164",82940.7234628327
"1165",22259.2765371673
"1166",0
"1167",19000
"1168",23050
"1169",6755
"1170",28586.2470105911
"1171",8338.75298940895
"1172",19420.1733966746
"1173",60
"1174",25349.8266033254
"1175",0
"1176",26790
"1177",17822.0982142857
"1178",30397.9017857143
"1179",12243.7029200169
"1180",11886.2970799831
"1181",23230
"1182",11340
"1183",17400
"1184",1725
"1185",1725
"1186",16230
"1187",16930
"1188",15614.2457231726
"1189",10145.7542768274
"1190",43250
"1191",33386.8132272794
"1192",38763.1867727206
"1193",35222.7145359019
"1194",10347.2854640981
"1195",9850.88122605364
"1196",27959.1187739464
"1197",19790
"1198",0
"1199",18080.5515625
"1200",47929.4484375
"1201",26815.7837639055
"1202",86544.2162360945
"1203",17349.4395361679
"1204",29700.5604638321
"1205",0
"1206",16787.0583505628
"1207",12823.012864691
"1208",16209.9287847462
"1209",14603.8314944835
"1210",26526.1685055165
"1211",16110.9559471366
"1212",21219.0440528634
"1213",0
"1214",21605
"1215",6215
"1216",9920
"1217",18205.8584490349
"1218",12254.1415509651
"1219",8710
"1220",2840
"1221",33233.4142335766
"1222",25126.5857664234
"1223",25137.6958105647
"1224",26422.3041894353
"1225",15607.934655776
"1226",5292.06534422404
"1227",14950
"1228",98931.8158105939
"1229",47338.1841894061
"1230",18690
"1231",14053.79804759
"1232",20096.20195241
"1233",9650
"1234",21631.0690015682
"1235",19558.9309984318
"1236",18753.3790865985
"1237",25126.6209134015
"1238",12560
"1239",65300.7433762301
"1240",4389.25662376987
"1241",35630
"1242",18420
"1243",14723.078548347
"1244",17027.4409644544
"1245",7529.48048719861
"1246",21400
"1247",11885
"1248",4835
"1249",16478.479338843
"1250",26361.520661157
"1251",45684.5837124659
"1252",4285.41628753412
"1253",24913.6447402099
"1254",37875.8254415152
"1255",18630.5298182749
"1256",11840
"1257",14741.9293756397
"1258",20948.0706243603
"1259",18606.9792714832
"1260",26833.0046286979
"1261",6040.01609981888
"1262",15827.0850040096
"1263",14462.9149959904
"1264",10630
"1265",22680
"1266",26077.5
"1267",16072.5
"1268",11060
"1269",9780
"1270",7319.9593495935
"1271",24630.0406504065
"1272",0
"1273",18342.7200902935
"1274",14457.2799097065
"1275",22965
"1276",885
"1277",0
"1278",12640
"1279",16059.1584925142
"1280",24000.8415074858
"1281",34010
"1282",12410
"1283",8960.33487297921
"1284",8379.66512702079
"1285",25835.6746116195
"1286",25244.3253883805
"1287",25454.5613269315
"1288",3645.43867306853
"1289",9881.29861345959
"1290",51118.7013865404
"1291",31106.615313511
"1292",36923.384686489
"1293",6270
